0,1,2,3,4,5,6
09:15-10:25,CDR,RESPIRATION. Experiment ops and cleanup. Tagup with specialists (S-band),,,,
09:40-09:50,FE-1,Video footage: Life on the Station,,,,
09:50-10:25,TVIS Monthly Maintenance,,,,,
09:50-10:50,FE-2,Physical Exercise (CEVIS),,,,
10:25-11:25,CDR,"Physical Exercise (TVIS), day 1",,,,
10:25-10:45,FE-1,RESPIRATION. Experiment setup. Tagup with specialists (S-band),,,,
10:45-12:05,RESPIRATION. Experiment ops and cleanup. Tagup with specialists (S-band),,,,,
10:50-11:30,FE-2,TV Downlink Configuration for Ku-Band (Progress docking prep),,,,
11:30-12:00,"CDR, FE-2",Testing Ku-band TV Downlink (configuring TV System for Progress docking)(Ku-band),,,,
12:00-12:10,FE-2,Photo/TV - Deactivation of A31P Laptop,,,,
12:05-13:05,FE-1,"Physical Exercise (TVIS), day 1",,,,
12:25-12:35,FE-2,СОТР Jumper Disconnect,,,,
12:35-13:05,"JPM CGSE Self Shut-off Valve (SSV) Recovery, Part 2",,,,,
13:05-14:05,,LUNCH,,,,
14:05-14:25,FE-2,"Air Sampling, analysis (T+5)",,,,
14:25-14:40,"CDR, FE-1",Telephone Conference with Russian Cosmos Magazine Editor (S-band),,,,
14:25-14:30,FE-2,PAO hardware setup,,,,
GMT,Crew,ACTIVITY,,,,
06:00-06:10,"FE-1,FE-2",Morning inspection,,,,
06:00-06:10,CDR,SONOCARD. Experiment completion,,,,
06:10-06:40,FE-2,Post-sleep,,,,
06:10-06:20,CDR,Morning inspection,,,,
06:10-06:40,FE-1,Post-sleep,,,,
06:20-06:40,CDR,,,,,
06:40-07:30,.,Morning meal,,,,
07:30-07:40,.,Work prep,,,,
07:40-07:55,.,Daily planning conference (S-band),,,,
07:55-08:00,FE-2,LAB window closing,,,,
07:55-08:15,"CDR,FE-1",Work Prep,,,,
08:00-08:05,FE-2,JEM window closing,,,,
08:05-09:35,FE-2,FE RED,,,,
08:15-08:45,CDR,БСК-2В device teardown. Conf with specialists if needed. (S-band),,,,
08:45-09:15,CDR,"Routing cables - 17КС.10Ю 8210А-3730, -3740, -3860 БСК-1В to connectАСН-М (SatNav system). Conf with specialists if needed. (S-band)",,,,
08:50-10:20,FE-1,FE TVIS-4,,,,
09:15-09:30,CDR,SONOCARD. Copying data to Laptop RSE-MED,,,,
09:30-09:40,CDR,"Filtration unit СО2 ГА ИК0501 R&R. Install unit #30 (СМ1РО_4_449_1,barcode 008545R , bag 363-25 ); replaced unit is planned for disposal",,,,
09:35-10:35,FE-2,FE CEVIS,,,,
09:50-10:20,CDR,Turn off PRINTER1. Install БСК-2В device to its nominal location (after АСН-М (SatNav system) test). Conf with specialists if needed. (S-band),,,,
10:20-11:50,CDR,FE TVIS-4,,,,
10:35-10:55,FE-2,In-Flight Maintenance CEVIS,,,,
10:55-11:30,FE-2,OUM-PFE – h/w installation,,,,
11:20-12:00,FE-1,"Laptop antivirus database update  (for RSS1, RSK1, RSK2, RSE1). Conf withspecialists.(S-band) / rg",,,,
11:30-11:35,FE-2,Ham radio h/w prep,,,,
11:35-11:45,FE-2,Ham radio comm. session,,,,
11:45-12:15,FE-2,OUM-PFE - installation,,,,
11:50-12:50,CDR,Midday meal,,,,
12:00-12:15,FE-1,ГАНК data readout,,,,
12:15-13:15,"FE-1,FE-2",Обед,,,,
12:50-13:00,CDR,Activating PRINTER1 in SM. Conf with specialists if needed. (S-band),,,,
13:15-14:15,CDR,Cardio-ODNT. Experiment preparation,,,,
13:15-13:25,FE-2,Systems DC converter and microgravity measurement equipment activation.,,,,
13:15-14:15,FE-1,Cardio-ODNT. Experiment preparation (for assisting crew member),,,,
13:25-14:25,FE-2,Locating and installing K-bar h/w in Columbus,,,,
14:15-14:35,"CDR,FE-1",Cardio-ODNT. Measurements during comm. pass То=14.16. Conf withspecialists (VHF),,,,
14:25-14:45,FE-2,Photographing Lab-On-a-Chip glass slide,,,,
TIME,CREW,ACTIVITY,,,,
06:00-06:10,.,Morning inspection,,,,
06:10-06:40,.,POSTSLEEP,,,,
06:40-07:30,.,Breakfast,,,,
07:30-08:00,.,Work prep,,,,
08:00-08:15,.,Daily Planning Conference (S-band),,,,
08:15-08:30,"CDR,FE-1",IMS tag-up over the phone (S-band),,,,
08:30-09:30,CDR,"Installation in Progress # 365 of local signal commutator (ЛКТ) (ТА251М1Б)ser.# 1417726329 (backup # 1417726327) and ROM (ПЗУ) ser.#1417726937 (backup # 1417726938)  (СМ1РО_3_314_1, bag 353-8 b/c00037141R)",,,,
08:30-09:30,FE-1,Physical exercise -VELO-2,,,,
08:30-08:45,FE-2,Inspection of RED and access to hardware,,,,
08:45-10:15,Physical exercise -RED,,,,,
09:30-10:10,CDR,СОЖ Maintenance,,,,
10:15-10:30,.,Weekly conference between ISS crew and GOGU Management(S-band),,,,
10:30-11:30,FE-2,Physical exercise –CEVIS,,,,
10:30-11:30,CDR,Physical exercise -VELO+RED-2,,,,
10:30-13:30,FE-1,Unloading and inventory of Progress #365 cargo items,,,,
11:30-13:30,CDR,,,,,
11:45-12:50,FE-2,CLEAN BENCH experiment – microscope check,,,,
12:50-13:00,FE-2,Troubleshooting of noise problem in Payload laptop terminal,,,,
13:00-13:05,FE-2,JEM window shutter closure,,,,
13:05-13:15,FE-2,CWC audit,,,,
13:15-13:20,FE-2,LAB window shutter closure,,,,
13:30-14:30,.,Midday Meal,,,,
14:30-14:45,FE-2,CLEAN BENCH experiment – ventilation start up/shut down,,,,
14:30-16:00,"CDR,FE-1",Unloading and inventory of Progress #364 cargo items,,,,
14:45-14:55,FE-2,Paper prep for AQUASPHERE and INK BALL experiments,,,,
14:55-15:35,FE-2,JLP – light fixture replacement – part 1,,,,
15:35-16:15,FE-2,JLP – light fixture replacement – part 2,,,,
16:00-16:50,"CDR,FE-1",Study of heart bioelectric activity at rest (То=16.23). Tagup with experts (VHF),,,,
16:15-16:45,FE-2,Installation of foot restraints in JEM module,,,,
16:45-17:45,FE-2,JEM – cleaning,,,,
16:50-17:10,FE-1,IMS data edit,,,,
16:50-18:20,CDR,Physical exercise -TVIS-2,,,,
17:10-18:00,FE-1,Evening work prep,,,,
18:00-19:15,FE-1,Physical exercise -TVIS-2,,,,
18:20-19:15,CDR,Evening work prep,,,,
18:25-18:30,FE-2,Defibrillator check,,,,
GMT,CREW,ACTIVITY,,,,
07:30-07:40,,Morning Inspection,,,,
07:40-08:10,Post-sleep,,,,,
08:10-09:00,BREAKFAST,,,,,
09:00-09:15,Prep for Work,,,,,
09:15-09:30,Daily Planning Conference (S-band),,,,,
09:30-09:45,ISS Crew and ГОГУ (RSA Flight Control Team) Weekly Conference (S-band),,,,,
09:45-10:45,CDR,"Verify that НОК1, НОК2 shut down, purge Replaceable CondensateRemoval Lines [СМОК] with air. Tagup with specialists (S-band)",,,,
09:45-09:55,FE-1,BRI logs dump from RSS1,,,,
09:45-09:55,FE-2,CBEF. Door inspection,,,,
09:55-10:40,Set up G1 camcorder for EPO,,,,,
09:55-11:55,FE-1,RS ISS ODF Audit,,,,
10:40-10:55,FE-2,G1 camcorder installation,,,,
