,0,1,count
945,temperature,eva,0
946,temperature,item,0
947,temperature,wrs,0
948,temperature,page,0
949,temperature,recovery,0
950,temperature,power,2
951,temperature,rack,8
952,temperature,loop,55
953,temperature,closure,0
954,temperature,emergency,0
955,temperature,hardware,13
956,temperature,setup,8
957,temperature,camcorder,0
958,temperature,edv,0
959,temperature,stowage,1
960,temperature,ops,3
961,temperature,closeout,2
962,temperature,radio,0
963,temperature,ham,1
964,temperature,session,2
965,temperature,data,7
966,temperature,transfer,3
967,temperature,questionnaire,0
968,temperature,downlink,2
969,temperature,mec,0
970,temperature,air,6
971,temperature,sm,11
972,temperature,sampling,23
973,temperature,fan,2
974,temperature,cleaning,0
975,temperature,maintenance,4
976,temperature,сож,2
977,temperature,ssc,0
978,temperature,support,3
979,temperature,cleanup,0
980,temperature,cable,1
981,temperature,cargo,0
982,temperature,file,1
983,temperature,comm,6
984,temperature,config,2
985,temperature,reconfig,2
986,temperature,test,6
987,temperature,check,128
988,temperature,monitoring,132
989,temperature,water,2
990,temperature,private,0
991,temperature,icv,0
992,temperature,fgb,0
993,temperature,measurements,2
994,temperature,lab,21
995,temperature,battery,2
996,temperature,status,23
997,temperature,charge,0
998,temperature,payload,0
999,temperature,video,1
1000,temperature,review,0
1001,temperature,msg,0
1002,temperature,experiment,1
1003,temperature,procedure,1
1004,temperature,inspection,19
1005,temperature,laptop,4
1006,temperature,tank,0
1007,temperature,morning,16
1008,temperature,soyuz,17
1009,temperature,unit,191
1010,temperature,replacement,3
1011,temperature,bag,38
1012,temperature,filter,0
1013,temperature,start,2
1014,temperature,photo,9
1015,temperature,regeneration,5
1016,temperature,cartridge,0
1017,temperature,бмп,0
1018,temperature,tagup,16
1019,temperature,specialists,9
1020,temperature,activation,103
1021,temperature,preparation,0
1022,temperature,installation,48
1023,temperature,dc1,1
1024,temperature,node,8
1025,temperature,equipment,3
1026,temperature,prep,0
1027,temperature,return,0
1028,temperature,stow,16
1029,temperature,exercise,0
1030,temperature,physical,0
1031,temperature,day,0
1032,temperature,tvis,0
1033,temperature,ims,18
1034,temperature,collection,4
1035,temperature,hrf,0
1036,temperature,blood,0
1037,temperature,urine,0
1038,temperature,tv,0
1039,temperature,drying,0
1040,temperature,kuband,0
1041,temperature,iss,0
1042,temperature,progress,28
1043,temperature,repress,0
1044,temperature,mcc,40
1045,eva,item,93
1046,eva,wrs,2
1047,eva,page,85
1048,eva,recovery,1
1049,eva,power,16
1050,eva,rack,7
1051,eva,loop,0
1052,eva,closure,35
1053,eva,emergency,11
1054,eva,hardware,63
1055,eva,setup,112
1056,eva,camcorder,6
1057,eva,edv,2
1058,eva,stowage,78
1059,eva,ops,300
1060,eva,closeout,21
1061,eva,radio,4
1062,eva,ham,18
1063,eva,session,12
1064,eva,data,66
1065,eva,transfer,110
1066,eva,questionnaire,1
1067,eva,downlink,124
1068,eva,mec,1
1069,eva,air,84
1070,eva,sm,95
1071,eva,sampling,4
1072,eva,fan,3
1073,eva,cleaning,5
1074,eva,maintenance,8
1075,eva,сож,1
1076,eva,ssc,10
1077,eva,support,173
1078,eva,cleanup,22
1079,eva,cable,13
1080,eva,cargo,5
1081,eva,file,9
1082,eva,comm,110
1083,eva,config,574
1084,eva,reconfig,247
1085,eva,test,136
1086,eva,check,74
1087,eva,monitoring,23
1088,eva,water,29
1089,eva,private,65
1090,eva,icv,1
1091,eva,fgb,3
1092,eva,measurements,5
1093,eva,lab,28
1094,eva,battery,35
1095,eva,status,94
1096,eva,charge,23
1097,eva,payload,5
1098,eva,video,87
1099,eva,review,199
1100,eva,msg,0
1101,eva,experiment,11
1102,eva,procedure,137
1103,eva,inspection,44
1104,eva,laptop,4
1105,eva,tank,9
1106,eva,morning,0
1107,eva,soyuz,73
1108,eva,unit,20
1109,eva,replacement,7
1110,eva,bag,18
1111,eva,filter,5
1112,eva,start,7
1113,eva,photo,166
1114,eva,regeneration,2
1115,eva,cartridge,1
1116,eva,бмп,0
1117,eva,tagup,394
1118,eva,specialists,268
1119,eva,activation,97
1120,eva,preparation,151
1121,eva,installation,52
1122,eva,dc1,289
1123,eva,node,26
1124,eva,equipment,147
1125,eva,prep,361
1126,eva,return,10
1127,eva,stow,181
1128,eva,exercise,18
1129,eva,physical,36
1130,eva,day,1
1131,eva,tvis,8
1132,eva,ims,41
1133,eva,collection,2
1134,eva,hrf,3
1135,eva,blood,6
1136,eva,urine,5
1137,eva,tv,61
1138,eva,drying,3
1139,eva,kuband,39
1140,eva,iss,148
1141,eva,progress,13
1142,eva,repress,29
1143,eva,mcc,86
1144,item,wrs,0
1145,item,page,498
1146,item,recovery,1
1147,item,power,17
1148,item,rack,18
1149,item,loop,0
1150,item,closure,16
1151,item,emergency,1
1152,item,hardware,15
1153,item,setup,24
1154,item,camcorder,46
1155,item,edv,4
1156,item,stowage,57
1157,item,ops,42
1158,item,closeout,0
1159,item,radio,4
1160,item,ham,0
1161,item,session,14
1162,item,data,6
1163,item,transfer,47
1164,item,questionnaire,3
1165,item,downlink,26
1166,item,mec,1
1167,item,air,45
1168,item,sm,167
1169,item,sampling,10
1170,item,fan,22
1171,item,cleaning,19
1172,item,maintenance,9
1173,item,сож,1
1174,item,ssc,0
1175,item,support,16
1176,item,cleanup,12
1177,item,cable,7
1178,item,cargo,35
1179,item,file,1
