0,1,2,3,4,5,7
TIME,CREW,,,,,
,,Calf volume measurement.,,,,
06:10-06:20,"FE-4,FE-2,FE-1","For FE-1, FE-2 [ИЗОГ] Kit No.104 (00056696R,",,,,
,,СМ1РО_2_МЕДШКАФ_к3),,,,
06:10-06:45,FE-3,,,,,
06:10-06:30,CDR,POST-SLEEP,,,,
06:10-06:50,FE-6,,,,,
06:20-06:30,FE-2,Start of ТТМ-2 Battery Charge,,,,
06:20-06:30,FE-4,МО-8. Hardware setup,,,,
06:20-06:35,FE-1,,,,,
06:30-06:55,FE-4,POST-SLEEP,,,,
06:30-06:40,FE-2,,,,,
06:30-06:35,CDR,,,,,
,,Body mass measurements,,,,
06:35-06:40,FE-1,,,,,
06:35-06:45,CDR,,,,,
,,POST-SLEEP,,,,
06:40-06:55,FE-1,,,,,
06:40-06:45,FE-2,,,,,
,,Body mass measurements,,,,
06:45-06:50,FE-3,,,,,
06:45-07:05,FE-2,POST-SLEEP,,,,
06:45-07:35,CDR,,,,,
,,BREAKFAST,,,,
06:50-07:35,FE-3,,,,,
06:50-06:55,FE-6,,,,,
,,Body mass measurements,,,,
06:55-07:00,FE-4,,,,,
06:55-07:50,FE-1,,,,,
,,BREAKFAST,,,,
06:55-07:35,FE-6,,,,,
07:00-07:10,FE-4,МО-8. Closeout ops,,,,
07:05-07:50,FE-2,,,,,
,,BREAKFAST,,,,
07:10-07:50,FE-4,,,,,
07:50-08:05,"FE-2,FE-4,FE-1",Daily Planning Conference (S-band),,,,
08:00-09:30,CDR,Physical Exercise (ARED),,,,
08:05-08:20,FE-4,BREAKFAST,,,,
08:05-08:25,"FE-1,FE-2",,,,,
,,Work prep,,,,
08:20-08:35,FE-4,,,,,
08:20-08:30,FE-3,MOST – sample removal from MELFI,,,,
GMT,CREW,,,,,
06:00-06:10,CDR,Morning Inspection,,,,
06:00-06:30,FE-4,"SPRUT-2. Set-up, BMI measurement, and close-out ops",,,,
06:00-06:05,FE-6,Reaction self-test,,,,
06:05-06:10,FE-6,REMINDER - ENERGY-D4-C Experiment,,,,
