0,1,2,3
07:30-10:30,FE-4,Weekly Housekeeping  Cleaning Auxiliary Computer System (ВКС) Laptops,
,,"Weekly Housekeeping / МО, Book 1, 1.2.1, p. 1-2",
07:30-10:30,FE-2,Cleaning БМП (Harmful Contaminants Removal System) fan grille,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,
,,"Weekly Housekeeping / МО, Book 1, 1.2.1, p. 1-2",
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",
07:30-10:30,CDR,FGB ЦВ2 Fan Cleaning,
,,Inspection of Air Conditioner,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,
07:30-07:55,FE-6,COSMO - Hardware Setup,
07:55-08:15,FE-6,COSMO - Video Camera Setup,
08:15-08:30,FE-6,"COSMO - Setting Camera, Connecting Microscope",
08:30-10:15,FE-6,Weekly Housekeeping,
10:15-10:30,FE-6,COSMO - Camera View Check,
10:30-10:45,CDR,Private Family Conference (S + Ku-band),
10:30-11:45,FE-6,Weekly Housekeeping,
10:30-10:35,FE-5,CGBA - Status Check and Monitor Cleaning,
10:30-12:00,FE-4,"БД-2 Exercise, Day 3",
10:30-12:00,FE-3,ARED Exercise,
12:00-13:00,FE-3,CEVIS Exercise,
12:00-13:00,"CDR, FE-2, FE-4",Video for Roscosmos TV Studio,
12:00-13:30,FE-6,ARED Exercise,
13:00-14:00,"CDR, FE-2,",LUNCH,
11:55-12:00,FE-6,COSMO- camera positioning check,
12:00-12:30,FE-6,Psychological evaluation program run (WinSCAT),
12:30-12:45,FE-3,CFE- ops review for hardware test,
12:30-12:50,FE-6,SSC13 hard drive change,
12:35-12:55,FE-5,CMO skills refresh,
12:45-13:00,FE-3,CFE – MWA prep,
12:50-13:00,CDR,Seyner. Battery charge on ФСС hardware (start),
12:50-13:00,FE-6,SSC13 preparation for reload,
12:55-13:00,FE-5,USND2-Ultrasound2 equipment deactivation,
13:00-14:00,.,LUNCH,
14:00-14:30,.,Emergency procedures review,
14:30-15:45,FE-5,ARED – cable R&R,
14:30-15:10,FE-2,EDV (КОВ) # 1013 fill (separation) ЕДВ (КОВ) for Electron,
,FE-4,"ТЗК jackets transfer, delivered on Progress ТКГ No421, to Soyuz No711",
14:30-14:50,,,
,CDR,"ТЗК jackets transfer, delivered on Progress ТКГ No421, to Soyuz ТК No711",
14:30-15:30,FE-3,CFE- prep ops and installation,
14:30-14:50,FE-6,SSC13 hard drive troubleshooting,
14:50-15:30,FE-4,Life on Station Photo and Video,
14:50-15:35,CDR,"ТКГ No421 transfers, IMS updates",
14:55-15:30,FE-6,ARED - cable R&R (assist),
15:10-15:50,FE-2,СОЖ Maintenance,
15:30-17:30,FE-3,CFE. Test ops,
15:30-15:50,FE-4,IMS Ops,
15:35-16:25,CDR,Seyner. Observation and photography using ФСС hardware,
15:45-17:15,FE-5,ARED Exercise,
15:45-16:45,FE-6,T2 Exercise,
15:50-16:25,FE-4,Evening Work Prep,
15:50-16:00,FE-2,Seyner. Photography during experiment,
